=== 전체 셀러 기준 그룹 비교 ===
| seller_group   |   셀러 수 |             총매출 |     매출 기여도 |   평균 total_sales |   평균 order_count |   평균 item_count |   평균 avg_review_score |   평균 low_review_rate |   평균 high_review_rate |   평균 on_time_rate |   평균 avg_delivery_days |   평균 avg_delay_days |   평균 category_count |   평균 avg_price |   평균 median_price |   평균 avg_freight |   평균 avg_freight_ratio |
|:---------------|-------:|----------------:|-----------:|-----------------:|-----------------:|----------------:|----------------------:|---------------------:|----------------------:|------------------:|-----------------------:|--------------------:|--------------------:|---------------:|------------------:|-----------------:|-----------------------:|
| Top 20%        |    619 |     1.12392e+07 | 0.826917   |       18157      |        124.766   |       139.598   |               4.03754 |             0.160499 |              0.749469 |          0.917908 |                12.4281 |            0.753277 |             3.70275 |       318.987  |          282.024  |          28.1689 |               0.225956 |
| Middle         |   1857 |     2.30268e+06 | 0.169418   |        1240      |         11.7108  |        13.5057  |               3.9986  |             0.17632  |              0.747416 |          0.913147 |                11.6128 |            0.777832 |             1.83522 |       169.529  |          158.216  |          23.8739 |               0.297027 |
| Bottom 20%     |    619 | 49810           | 0.00366475 |          80.4685 |          1.66882 |         1.87237 |               3.83105 |             0.220461 |              0.686284 |          0.924726 |                11.167  |            1.00976  |             1.05331 |        54.0501 |           53.6892 |          17.1099 |               0.488638 |

=== 주문 5건 이상 셀러 기준 그룹 비교 ===
| seller_group_filtered   |   셀러 수 |              총매출 |    매출 기여도 |   평균 total_sales |   평균 order_count |   평균 item_count |   평균 avg_review_score |   평균 low_review_rate |   평균 high_review_rate |   평균 on_time_rate |   평균 avg_delivery_days |   평균 avg_delay_days |   평균 category_count |   평균 avg_price |   평균 median_price |   평균 avg_freight |   평균 avg_freight_ratio |
|:------------------------|-------:|-----------------:|----------:|-----------------:|-----------------:|----------------:|----------------------:|---------------------:|----------------------:|------------------:|-----------------------:|--------------------:|--------------------:|---------------:|------------------:|-----------------:|-----------------------:|
| Top 20%                 |    358 |      9.59484e+06 | 0.705937  |         26801.2  |        180.911   |       202.106   |               4.03343 |             0.160313 |              0.751594 |          0.919494 |                12.6477 |            0.782729 |             4.15922 |        277.798 |          241.531  |          26.2181 |               0.217502 |
| Middle                  |   1078 |      3.26937e+06 | 0.240543  |          3032.81 |         27.5417  |        31.3451  |               4.07711 |             0.154447 |              0.763067 |          0.91827  |                11.6692 |            0.747076 |             2.54545 |        154.502 |          133.861  |          23.2026 |               0.296832 |
| Bottom 20%              |    358 | 158272           | 0.0116448 |           442.1  |          8.34916 |         9.58101 |               4.13838 |             0.140562 |              0.781006 |          0.924056 |                10.3609 |            0.613528 |             1.84916 |         52.179 |           45.9316 |          16.604  |               0.47469  |

